


       MOVEINDEX.Q  IMP10YRVOL.Q  VAR_SVENY0025.Q  VAR_SVENY0050.Q  VAR_SVENY0075.Q  VAR_SVENY0100.Q  VAR_SVENY0200.Q  VAR_SVENY0300.Q  VAR_SVENY0500.Q  VAR_SVENY0700.Q  VAR_SVENY1000.Q  VAR_SVENY1500.Q  VAR_SVENY2000.Q  VAR_SVENY3000.Q
      ------------  ------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------

85:3            ND    9.21720424               ND               ND               ND               ND               ND               ND               ND               ND               ND               ND               ND               ND
85:4            ND    7.47154059               ND               ND               ND               ND               ND               ND               ND               ND               ND               ND               ND               ND
96:3  120.40694084    7.03686759       0.00576006       0.00717375       0.01061496       0.01351475       0.01834779       0.01884792       0.01933051       0.02065345       0.01983029       0.01412698       0.01112254       0.02559101
96:4  105.58116632    6.55509645       0.00130883       0.00125605       0.00239587       0.00403257       0.01081439       0.01583567       0.02155791       0.02406210       0.02493365       0.02373688       0.02258331       0.02621952
97:1  104.54143434    6.32107268       0.01040944       0.01319168       0.01578472       0.01812576       0.02424218       0.02622282       0.02483458       0.02213191       0.01904978       0.01578822       0.01324314       0.00941481
97:2   91.50826118    5.45923521       0.00588597       0.00851532       0.01142335       0.01430050       0.02278954       0.02660562       0.02801601       0.02747965       0.02621074       0.02339386       0.02095217       0.01994314
97:3   85.13927850    5.02831169       0.00331322       0.00185739       0.00167578       0.00198592       0.00416541       0.00592890       0.00792706       0.00915703       0.01070996       0.01164862       0.01112658       0.00796673
97:4   91.25621505    5.42861953       0.01202296       0.00513744       0.00239019       0.00162424       0.00369111       0.00590262       0.00978568       0.01472403       0.02142533       0.02535186       0.02492124       0.03140758
98:1   91.93746252    5.32848884       0.00123387       0.00245137       0.00393760       0.00549543       0.01031027       0.01202503       0.01053836       0.00827211       0.00678157       0.00675816       0.00652771       0.00292078
98:2   78.29536219    4.67988312       0.00418444       0.00058465       0.00060026       0.00091978       0.00262347       0.00373339       0.00447512       0.00587044       0.00956683       0.01613678       0.01761412       0.00775159
98:3   86.93676768    5.12325397       0.01687009       0.02827839       0.04055987       0.05291843       0.09292305       0.11287239       0.11137123       0.08986063       0.05905736       0.03073272       0.01965197       0.01451236
98:4  123.37431457    7.82631655       0.02186591       0.02380445       0.02561181       0.02726797       0.03172542       0.03270669       0.02791897       0.02075660       0.01377574       0.01133374       0.01088210       0.01288082
99:1   96.16241037    6.24237033       0.00385836       0.00731904       0.01173346       0.01669730       0.03643886       0.05067275       0.06137505       0.05964569       0.05158647       0.03913628       0.02944164       0.01601652
99:2   94.49559091    5.77078788       0.01788792       0.02536827       0.03362938       0.04227329       0.07469745       0.09757706       0.11262349       0.10448723       0.08289797       0.05516207       0.03865249       0.02213287
99:3  103.71930014    6.46704906       0.01140899       0.01083164       0.01024822       0.00965667       0.00825228       0.00913050       0.01283489       0.01522804       0.01560987       0.01272088       0.01025623       0.01241239
99:4   93.43929114    6.73219697       0.02447743       0.02404430       0.02360865       0.02271858       0.01660311       0.01256618       0.01223853       0.01487938       0.01704989       0.01584584       0.01356705       0.01242178
00:1  103.05320290    7.21577536       0.02805539       0.01488394       0.00932836       0.00714319       0.00758656       0.00880286       0.00960144       0.01323295       0.02583332       0.05243192       0.06839476       0.06387294
00:2  104.94706957    6.97221691       0.01605803       0.02519782       0.03323837       0.03705984       0.03823683       0.03946496       0.04224351       0.04165310       0.03663037       0.02748892       0.02190068       0.02008660
00:3   86.30660234    6.00552174       0.00682467       0.00176594       0.00268331       0.00495702       0.01265491       0.01495208       0.01281509       0.01046521       0.00961197       0.01068886       0.01040371       0.00711912
00:4   88.98489418    5.89176984       0.03379941       0.05228059       0.06448533       0.07123079       0.07580356       0.07626824       0.07683704       0.07174282       0.05869863       0.03917212       0.02742487       0.02016963
01:1  107.99195375    6.89680831       0.10015520       0.08745576       0.07558191       0.06526226       0.03956345       0.02848100       0.01980131       0.01598988       0.01269094       0.00933861       0.00713589       0.00488682
01:2  102.82096074    6.84925397       0.04970650       0.04768440       0.03574833       0.02456029       0.00983295       0.01324403       0.01974137       0.02078996       0.01814742       0.01247021       0.00890689       0.00671336
01:3  102.42172464    7.11555393       0.19372191       0.17157071       0.17420468       0.18132800       0.18151406       0.15140290       0.09413129       0.05826087       0.03058631       0.01570952       0.01227359       0.00861277
01:4  129.14653907    8.45336364       0.05038068       0.03814050       0.02183278       0.01477482       0.05113521       0.08786219       0.10983978       0.10767663       0.09391126       0.07092957       0.05664159       0.04783227
02:1  118.10080423    8.34416500       0.00187077       0.02284075       0.04723860       0.06472680       0.07868940       0.06917171       0.05285921       0.04243663       0.03259406       0.02412862       0.02058771       0.02029332
02:2  107.76786364    7.58962121       0.00143631       0.00781016       0.01683715       0.02442152       0.04157150       0.04800274       0.04537183       0.03660143       0.02436857       0.01212203       0.00677478       0.00365410
02:3  135.12722727    8.69372727       0.00527931       0.00141502       0.00428701       0.01138499       0.07237856       0.12280045       0.14744864       0.13396164       0.10646634       0.07781379       0.06786384       0.07861063
02:4  130.22033341    8.60396370       0.02572432       0.02694809       0.02322531       0.02081491       0.02194714       0.02585732       0.02752016       0.02501931       0.02044041       0.01531792       0.01266411       0.01015669
03:1  113.52604762    7.96459942       0.00088600       0.00088194       0.00147217       0.00269776       0.01155642       0.02006004       0.02814627       0.02933454       0.02675806       0.02031406       0.01507328       0.00994912
03:2  100.25989418    6.99507937       0.01532936       0.01066098       0.01025735       0.01232259       0.03792848       0.07017479       0.10435919       0.10952814       0.10280851       0.08828989       0.07653698       0.06254457
03:3  123.62085714    8.83663059       0.00290680       0.00143863       0.00317269       0.00706180       0.03385776       0.05653336       0.07343387       0.07540409       0.07292340       0.06440039       0.05312555       0.03229738
03:4  116.05337286    9.22121212       0.00044651       0.00058881       0.00207831       0.00410437       0.00963127       0.00974042       0.00741948       0.00695037       0.00811124       0.01000508       0.00993531       0.00672233
04:1  102.67472502    7.73988711       0.00035415       0.00019942       0.00080418       0.00213052       0.01163579       0.02119751       0.03097817       0.03284163       0.03064226       0.02489674       0.02051518       0.01671542
04:2  110.35173016    7.91378788       0.02031201       0.04026783       0.05890498       0.07327562       0.09270503       0.08808858       0.06951422       0.05340697       0.03672000       0.02237142       0.01669547       0.01610328
04:3   97.03092352    6.88155844       0.01264918       0.00933949       0.00530899       0.00367060       0.00927626       0.01647965       0.02554373       0.02908111       0.02818321       0.02272152       0.02015494       0.02865590
04:4   88.04893939    6.00396970       0.03171655       0.03882990       0.04360898       0.04624276       0.04256444       0.03131159       0.01531802       0.00899189       0.00618728       0.00530225       0.00498256       0.00564777
05:1   83.61700957    5.28085087       0.02310741       0.02911618       0.03458631       0.03938272       0.05071466       0.05244322       0.04416564       0.03454493       0.02580232       0.02085124       0.01990784       0.01954961
05:2   78.89531025    5.17704906       0.00624513       0.00441047       0.00326210       0.00260821       0.00321377       0.00671412       0.01533593       0.02229379       0.02939688       0.03526685       0.03607096       0.03062206
05:3   77.04420635    5.17807562       0.01902397       0.01290132       0.01013015       0.00911458       0.01017760       0.01104653       0.00990300       0.00822682       0.00661491       0.00536389       0.00470743       0.00382968
05:4   75.40918254    4.97861109       0.01917497       0.01218631       0.01221327       0.01052856       0.00591238       0.00539718       0.00711039       0.00748728       0.00562731       0.00403149       0.00451679       0.02734401
06:1   66.41957092    4.42780627       0.01584308       0.01768340       0.01947792       0.02115705       0.02578752       0.02727681       0.02523391       0.02153087       0.01697899       0.01248019       0.00979593       0.00644142
06:2   66.89418030    4.50108453       0.01081386       0.01095384       0.01088074       0.01064754       0.00877634       0.00683980       0.00493643       0.00476865       0.00537830       0.00626698       0.00671968       0.00728534
06:3   61.76492818    4.09569567       0.00266700       0.00566061       0.00914795       0.01262635       0.02222898       0.02525121       0.02371554       0.02131115       0.01962832       0.01811190       0.01463045       0.00688704
06:4   63.82833354    3.99065874       0.00067410       0.00089791       0.00201815       0.00346021       0.00802433       0.00956963       0.00946066       0.00925492       0.00977504       0.01084133       0.00977554       0.00858420
07:1   63.70940908    4.06890445       0.00137019       0.00349360       0.00616258       0.00898696       0.01777918       0.02100756       0.01851035       0.01410275       0.01038953       0.00890201       0.00781888       0.00359713
07:2   62.53802999    3.99997116       0.00904041       0.00177446       0.00028877       0.00227917       0.02093955       0.03554167       0.04341120       0.04082510       0.03608630       0.03046375       0.02314049       0.00804900
07:3   98.81627146    5.72229958       0.14816294       0.13822103       0.13235022       0.12885647       0.12314655       0.11639367       0.09192167       0.06543904       0.03858358       0.02274867       0.01941382       0.01353652
07:4  115.91210938    6.44862121       0.14594595       0.15662228       0.16503791       0.17124250       0.17471359       0.15583010       0.10253025       0.06304628       0.03476556       0.02261263       0.01965600       0.02138597
08:1  150.95154317    8.60100795       0.44457801       0.33246662       0.26055391       0.21170593       0.12153226       0.08842385       0.05678734       0.03482367       0.01541307       0.01125727       0.01590943       0.02737104
08:2  130.66054281    7.88762626       0.06070175       0.06899483       0.07687831       0.08422373       0.10508474       0.11165398       0.09549393       0.06649785       0.03298109       0.01263293       0.01162701       0.02882584
08:3  127.52857463    8.12503609       0.01548495       0.02016794       0.02521408       0.03026507       0.04592377       0.05202945       0.04632397       0.03542561       0.02530097       0.02277355       0.02720677       0.02105385
08:4  207.32507833   11.66352335       0.22122059       0.18854183       0.16933943       0.15894296       0.16335535       0.19736092       0.30058741       0.41048467       0.50245205       0.47353912       0.39847956       0.34084006
09:1  150.11712138    9.92100877       0.00691235       0.00817884       0.00994393       0.01196748       0.01981037       0.02550252       0.03310044       0.03934364       0.04425610       0.04300431       0.04962381       0.08791943
09:2  141.57128398    8.99164067       0.01224338       0.00554799       0.00279311       0.00315286       0.02398350       0.05795903       0.11891133       0.14752840       0.14133390       0.10103434       0.08737599       0.14331262
09:3  134.54747264    8.81700578       0.00241387       0.00150741       0.00192227       0.00314707       0.01017245       0.01504529       0.01680936       0.01600727       0.01810743       0.02410895       0.02336289       0.01144656
09:4  101.73633321    6.98237881       0.00355027       0.00144377       0.00146677       0.00270773       0.01035663       0.01466344       0.01487502       0.01431806       0.01601247       0.01820889       0.01932853       0.02659551
