date,total_assets_top25,interest_earning_assets_top25,total_interest_expense_top25,total_interest_inc_top25,net_interest_income_top25,nim_top25,loans_real_estate_top25,loans_agr_top25,loans_ci_top25,loans_consumer_top25,loans_foreign_top25,loans_other_dom_top25,lease_financing_top25,inc_depository_inst_top25,inc_on_securities_top25,inc_trading_assets_top25,inc_fedfunds_top25,other_interest_inc_top25,expense_trans_accnts_top25,expense_nontrans_accnts_top25,expense_fedfunds_top25,expense_trade_liab_top25,expense_sub_debt_top25,assets_depository_inst_top25,assets_securities_notrade_top25,assets_fedfunds_top25,assets_all_loans_top25,assets_trading_accnts_top25
00Q2,3642450112,3075093235,33194671.67,60532716.96,27338045.29,0.889015168,15905860.88,204837.521,12424391.28,6658024.264,27841.42969,2536184.018,2227641.878,1430206.256,8504088.211,2291673,2633351.222,,166720.4889,11799292.39,4882820.156,6603211.633,1258499,"88,191,468","514,682,863","191,528,121","2,136,709,154","144,730,661"
00Q3,3669272223,3098632172,35160189.34,62841029.35,27680840.02,0.893324489,16708962.49,222604.0275,13037222.03,7257434.507,28465.82687,3265614.349,2192407.403,1162934.061,8365057.497,2266421,2469063.16,,177887.7238,12539596.87,4894325.376,7268377.37,1361355,"79,046,283","501,344,592","180,832,235","2,202,084,035","135,440,221"
00Q4,3830227592,3184115895,36561947.17,65052575.76,28490628.59,0.894773605,16690925.46,252366.0195,13434971.82,8346226.855,43459.90402,3228773.357,2287444.553,1558589.575,8040657.96,2531733,2625180.256,,176613.9048,13430901.17,5179853.289,7027126.531,1440334.278,"83,304,746","497,753,429","191,023,765","2,266,386,172","145,674,144"
01Q1,3963271367,3325157666,35646191.26,64647412.53,29001221.27,0.872175824,16990650.05,227717.8417,12647714.65,7689081.882,34821.0319,2874225.682,2339076,1640423.49,8642184.523,2517066,3040838.384,176530,209553.0219,13766275.27,4820004.441,7094420.869,1365903.658,"106,388,687","522,987,823","224,312,697","2,316,924,856","155,024,235"
01Q2,4018233310,3392046751,31048489.3,61161732.69,30113243.38,0.88776027,16231914.64,201082.878,11998855.01,7296978.856,30659.02418,2681837.571,2270335,1408774.596,8386444.506,2408607,2763599.337,221365.2697,240823.8764,12522978.09,4181735.64,5940302.697,1247298,"111,794,252","532,975,381","247,104,039","2,344,827,591","155,888,851"
01Q3,4223182102,3462498835,28364190.87,59397970.19,31033779.32,0.896282737,15749025.78,211906.1741,10940213.52,7735954.956,52598.02132,2277368.922,2207515.15,1353279.583,8531742.006,2286133.511,2489308.161,222555.3,254272.3389,11770187.42,3674181.494,5265170.95,1220277.122,"127,638,506","559,032,313","271,717,795","2,363,850,159","146,899,768"
01Q4,4163676263,3515609393,20301957.48,54865871.54,34563914.06,0.983155698,15727067.21,157121.0397,9459974.043,8292961.107,25811.02769,1888115.933,2249402.945,3264.511029,8136773.081,2096140,1361878.11,189438.5257,154502.4375,9709340.552,2309654.324,4388026.235,1054601.93,"105,296,853","579,321,018","263,308,900","2,407,376,406","160,797,309"
02Q1,4080471061,3515266904,17482242.47,51289141.43,33806898.95,0.961716418,14269404.65,138556.1836,8338246.085,7828945.301,27470,1487108.082,2128996.438,804319.0329,7851407.819,1815697,1293854.145,295124.6877,104978.7178,7842789.173,1899616.792,3746181.792,959935,"102,188,909","603,238,880","251,467,821","2,374,566,702","184,407,417"
02Q2,4235979667,3494311144,19173656.26,52604361.62,33430705.36,0.956718048,14844808.24,122760.1685,7857092.596,7925213.888,29524,1458927.618,2124041,720393.6067,8274377.663,2270927,1274554.64,300114.2023,110287.4382,7884418.371,1966781.472,4288993.978,959934,"94,640,963","613,510,996","239,835,933","2,349,209,918","198,000,924"
02Q3,4347342559,3540212926,18347709.71,51921042.63,33573332.92,0.948342194,14724339.59,124355.0667,7841798.083,7845284.244,25211,1373682.667,2028859.817,715952.7889,8254843.667,2197311,1207453.422,298143.2778,101607.6889,7608077.133,1955245.617,3953518.267,955673,"103,917,139","629,272,929","242,914,525","2,378,806,445","186,240,212"
02Q4,4425137514,3697260629,16284402.29,50660175.68,34375773.38,0.929763326,15083906.18,115609,7392243.647,8078760.235,18102,1290945.412,1941138,635719,7904211.765,2026844,1175950.029,237758.4118,109836,6944778.853,1851972.735,3614610.706,958437,"97,927,002","675,963,289","258,352,344","2,469,620,696","195,918,546"
03Q1,4509555738,3755987737,15120084,49466235,34346151,0.914437251,15065151,102020,7332443,7583059,14591,1180834,1991598,587946,7620755,2016979,1025565,296540,97067,6336390,1642151,3509510,913254,"89,119,655","698,614,131","246,453,183","2,522,125,104","200,141,189"
03Q2,4719420968,3852900286,14709864.75,49242039.29,34532174.54,0.896264424,15392210.87,98102,7271038.101,7232755.685,14568,1384915,1907805,626193.7191,7671930.281,1855141,903067.6742,264845.9663,97458.24719,6102253.528,1589765,3445074.978,902935,"95,256,629","738,936,495","259,807,731","2,575,196,237","185,709,219"
03Q3,4696772993,3933742663,13418578.33,48279498.33,34860920,0.886202352,15390106.33,93661,7095616.333,7590213,15736,1235304,1826548,440848.3333,6951275.667,1692391,1113932.667,293802,92828,5635492.333,1313169.667,3035295.333,888235,"109,674,900","716,929,219","288,794,047","2,640,476,760","185,926,960"
03Q4,4749992266,3936165434,12637262.71,48469842.5,35832579.79,0.910342322,15127443.72,90772.48529,6760239.456,8214624.559,15123,1200611.552,1484451,402078.5074,7373355.235,1840311,924409.5368,298012.4485,101869.4559,5042942.853,1128864.39,3181291.015,876531,"103,119,834","727,855,929","287,744,395","2,614,757,242","203,390,016"
04Q1,4914049130,4093767241,13566765.01,49722523.66,36155758.64,0.883190385,14791781.95,80236,6697175.274,8776415.904,14468,1291119.027,1394436,592124.1233,8162707.069,2015995,962094.7397,291967.5753,109581.8767,5309981,1336338,3260434.137,931871,"121,865,540","802,883,924","279,925,867","2,646,395,903","245,758,661"
04Q2,5115899853,4328861680,14167550.96,51242103.76,37074552.8,0.856450391,15527567.36,90063.33333,6591674.733,8437739.889,15161,1420409.533,1522074.089,615160.8,8778283.6,2128036.8,846414,322805.6222,105613.2222,5309242.333,1553092.689,3402711.978,951808.7333,"143,356,786","855,652,782","279,294,280","2,793,175,734","261,011,821"
04Q3,5373419477,4529054987,16676190.87,55573792.53,38897601.65,0.858845869,16642141.56,108466.2431,7390303.359,9628184.564,20970,1691000.072,1652800.713,652389.8232,8809880.735,2299928,1102797.945,342927.5138,167453.1713,6140616.282,1954831.055,3911629.116,1070621.249,"146,975,443","856,216,692","314,228,388","2,949,534,615","266,344,050"
04Q4,5532707856,4640221506,17731909.84,58212075.01,40480165.17,0.872375707,18421524.54,127596.1539,7608726.612,9841562.659,19353,1473957.429,1571925.542,778709.8462,8900454.788,2508886,1149827.088,403833.3517,248029.8022,7043211.967,1758570.736,3814121.3,1318297.029,"139,578,937","843,420,935","304,096,457","3,050,780,553","304,724,137"
