date,assets,assets_avg,assets_ie,assets_ie_avg,assets_tr,equity,tier1,tier1_avg,tier1c,rwa,netintinc,nonintinc,nonintexp,nonintinc_tr,alll_lvl,lllp_lvl,tstock_prchs,dividends,impair_gw,impair_oint,inc_extra,nonintexp_comp,nonintexp_prop,dep_dom,dep_fgn,loans,loans_avg,loans_ci,loans_cld,loans_mfam,loans_nfnr,loans_heloc,loans_sfam,loans_sfam_l1,loans_sfam_l2,loans_cons,loans_cc,loans_consxcc,nchg,nchg_ci,nchg_cld,nchg_mfam,nchg_nfnr,nchg_heloc,nchg_sfam,nchg_sfam_l1,nchg_sfam_l2,nchg_cons,nchg_cc,nchg_consxcc,inc_tr_assets,nim_with_tr_assets_y9,nim_ta
10Q4,13506039694,13603053844,9841570078,9933713582,2046410707.5,1214077121,943524772,940726517,734029059,7874283438,76822098,85338169,120425699,8592814,193371393,21891163,1857611,4603016,3776242,2572179,-133552,48954959,10429415,3145104454.5,1078676810,4966510385,4954208607,617636406.5,124081169,87784927.5,375839116.5,472069948,1216734116.5,1109939080.5,106795036,1143717419.5,624506995.5,519210424,33004034,2779058,1549960,437753,1549083,3212247,7170044,5447475,1722569,15627931,11952079,3675852,11915866,0.6412462521,0.5647415564
11Q1,13572126016,13582834488,9917520764,9907959075,2003715015,1245408115,954036527,951586673.5,763843179,7937776141,75244893,99653129,121735677,22323452,180989432,14956804,2098407,6288183,,2100486,-49204,57115902,10119419,3175199772,1148336453.5,4917397686,4927459464,627969513.5,114211839.5,83024154,371763775,464617792,1194647461.5,1092455576.5,102191885,1104605907,603132916,501472991,28201525,2379600,1061971,213179,847563,3082781,6318167,4647061,1671106,13587520,10349181,3238339,11901778,0.6316903269,0.553970477
11Q2,13870788188,13721457102,10112648884,10015084824,1993339854.5,1262050023,960423678,957230102.5,781523150,7937300191,75216466,84582041,126303812,14542667,169550674.5,14422949,6629159,4323792,2870467,2091304,-323464,53675644,10018476,3183256549,1200180909.5,4946208163,4942901396,645710102.5,104831957,82675814,369982218,455424182.5,1162046685,1065661661.5,96385023.5,1081131957.5,580347706,500784251.5,24083211,1691695,862354,172381,824186,2948865,5729237,4321096,1408141,11261408,8834889,2426519,12330225,0.6263641403,0.548166754
11Q3,14000781525,13953454982,10251402599,10211112690,1935484182,1287674512,959567511,961303852,786438401,7954535759,72456232.722,89598887.611,113482893.61,8996585.2778,161684001.5,15634223.139,8233957.8333,4434307.7778,13000,1972173.1111,1055183,48204629.444,10053644.917,3226327506.5,1196128739.5,4969561663,4977664436.5,674564316.5,96559441,85296847.5,373822678,451646488,1171783701.5,1080241509.5,91542192,1081525203,576140968,505384235,23495608.083,1681842.6111,867755.63889,115366.27778,824629.11111,2713876.4167,5211221.5278,3973790.9167,1237430.6111,11935650.667,9600219.8056,2335430.8611,11954996.417,0.5965146739,0.5192709105
11Q4,13880518280,13939290792,10273039445,10262221022,1890334673.5,1291881508,972432986,966000248.5,806526922,7931087015,74816214,78370284,119673367,4918425,153878724.5,14167854,2883284,5260684,834724,2129936,179441,48502363,10229238,3265666428,1160011223.5,5079411059,5026583715,703200390.5,88438331.5,84666266,373797397,448075816,1190465058,1103754393,86710665,1083422641,579268982,504153659,20100873,1550592,586263,154033,786570,2392192,4981260,3655514,1325746,8982343,6498308,2484035,10656600,0.6156418113,0.5367289851
12Q1,13446281274,13663693155,10035686503,10155023845,1849254884,1322597975,1010930341,991484995,847135068,7885007670,73204272,90522150,123416397,17597396,147017124,11716154,1798559,5508944,,1882831,482691,56918185,9778919,3362790013.5,1147698026.5,5067305514,5022836514,731562767,83206083.5,86038148,374230705.5,439866939,1221945036.5,1140905659.5,81039377,1068415252.5,570479208,497936044.5,18245613,1215261,434179,82947,429841,2521895,5160915,3902597,1258318,7990552,6229096,1761456,9286956,0.6098181628,0.5357575816
12Q2,13767423663,13711917488,10213727877,10148257920,1804216826,1347976577,983674927,988797589,819946167,7764056510,72437752,91514705,119786662,8658523,139240037,11163665,6736557,5644525,,1966114,-156440,51087296,9780459,3428415722.5,1120767497.5,5045229464,5035179875,736123424.5,78772190.5,84799542,375581150,429872070,1202023937.5,1125559299,76464638.5,1053848644,553737835.5,500110808.5,18021582,1248880,420533,72657,528743,2204121,4677168,3645296,1031872,8446987,5962378,2484609,8815039,0.6060481494,0.5282831673
12Q3,14221574994,13939452329,10520634652,10314331765,1796925672,1452598703,995396990,989535958.5,840271002,7792589583,85246760,99359355,139734471,11830278,133923937,14323833,4036849,11162027,1875349,2338309,-885982,56456113,10941110,3372426435.5,1152163500.5,5341986383,5304318508,778909349,74558672.5,87705765.5,388406096.5,415667931.5,1194011611.5,1122746414,71265197.5,1089172445.5,577852582,511319863.5,22104145,1766252,272439,25309,802651,3728322,5455126,3657063,1798063,9179135,7221089,1958046,8241411,0.7038638263,0.6115502818
12Q4,14024585020,14056173545,10439022042,10464094058,1866053414.5,1488499103,950456394,969058007,823532929,7288783394,71895618,97089914,126331129,10611831,129292908,12926971,7488072,6823572,44840,2343769,-913530,51506838,10060851,3508185974,1161376356.5,5326020641,5250572770,805468374.5,69486042,87630188,378437357.5,402057999.5,1187804031.5,1122179823,65624208.5,1134531345.5,614687029,519844316.5,16159341,1127811,183839,37538,540731,2131262,3491509,2644462,847047,7822237,6152140,1670097,9045408,0.5830880625,0.5114878368
13Q1,14212443512,14176220010,10491987044,10495054039,1929191597,1534033968,974268145,962362269.5,837561731,7829838276,74799678,109045701,127685746,20209907,124756065.5,10202399,6797529,5939744,,1972085,776378,59059289,9963440,3690209748,1146405577,5319658157,5319465801,818820379.5,66847303.5,87792522,364631890,396964916.5,1188421119.5,1123962473.5,64458646,1158250113,626650945.5,531599167.5,15040234,1064437,206100,6361,329326,1727929,3227125,2414717,812408,8019973,6164193,1855780,8986141,0.6020460331,0.5276419098
